"utterance","goal","state","cih","cil","exp"
"terrible","honest",1.5,0.411764705882353,0.352941176470588,"experiment"
"bad","honest",1.57352941176471,0.279411764705882,0.25,"experiment"
"okay","honest",2.95588235294118,0.191176470588235,0.191176470588236,"experiment"
"good","honest",3.77941176470588,0.25,0.279779411764706,"experiment"
"amazing","honest",4.64705882352941,0.235294117647059,0.294117647058824,"experiment"
"terrible","nice",1.38235294117647,0.176470588235294,0.205882352941176,"experiment"
"bad","nice",1.60294117647059,0.279779411764705,0.279411764705882,"experiment"
"okay","nice",2.26470588235294,0.294117647058823,0.294117647058823,"experiment"
"good","nice",2.89705882352941,0.352941176470588,0.352941176470588,"experiment"
"amazing","nice",3.22058823529412,0.338235294117647,0.338235294117647,"experiment"
"terrible","mean",2.83823529411765,0.470588235294117,0.470588235294118,"experiment"
"bad","mean",2.60294117647059,0.426838235294117,0.426838235294118,"experiment"
"okay","mean",3.14705882352941,0.383088235294117,0.411764705882353,"experiment"
"good","mean",2.70588235294118,0.5,0.441176470588236,"experiment"
"amazing","mean",2.16176470588235,0.5,0.485294117647059,"experiment"
"amazing","honest",4.06699423526984,0.166623829963935,0.1715778093153,"model"
"amazing","mean",3.53209927225821,0.14850888024171,0.116726090687865,"model"
"amazing","nice",3.40766549708149,0.121022606364675,0.0894439815023652,"model"
"bad","honest",2.08714848526445,0.140009388777225,0.151164042187775,"model"
"bad","mean",2.47945607950084,0.0919945362129699,0.20997967335349,"model"
"bad","nice",1.871025262957,0.107967679278995,0.0864388603166901,"model"
"good","honest",3.58243659180224,0.10857925642675,0.149312882288405,"model"
"good","mean",3.28871650884347,0.13489309580198,0.0879572979904999,"model"
"good","nice",3.16714351159022,0.0663096554569002,0.12695957961844,"model"
"okay","honest",3.15215999745123,0.03869073054131,0.0347217364079597,"model"
"okay","mean",3.11861849806745,0.05376637978333,0.0738493844719752,"model"
"okay","nice",2.92459367306549,0.0489865080340699,0.00905411863909506,"model"
"terrible","honest",2.06216026528987,0.176171399848145,0.22795848278502,"model"
"terrible","mean",2.45520870445854,0.164070378234645,0.175461679214765,"model"
"terrible","nice",1.73720429094515,0.130503392218655,0.128069062776155,"model"
