"MAP","cred_low","cred_upper","state","utterance"
0.992495615535549,0.890038637211546,0.999999191379175,"1","not_amazing"
0.00748316981929338,0.000000635860487818718,0.110932347364724,"1","not_bad"
0.992627701938795,0.891997254919261,0.999998696614057,"1","not_good"
0.919832815023884,0.770094188628718,0.983062935527414,"1","not_okay"
0.041502849532076,0.0037509414833039,0.170897850766778,"1","not_terrible"
0.0077247430858974,0.0000064503401517868,0.105503614759073,"1","yes_amazing"
0.992123130895664,0.891785493819043,0.999997431878,"1","yes_bad"
0.00796735030407003,0.0000027890782803297,0.108267433941364,"1","yes_good"
0.00776295977056892,0.00000247848220169544,0.109456994803622,"1","yes_okay"
0.95926476747628,0.832613641861826,0.998015004443005,"1","yes_terrible"
0.91858363300813,0.774767813039944,0.987591051962227,"2","not_amazing"
0.289713228788273,0.140479299239814,0.471488433191553,"2","not_bad"
0.887088485254172,0.72008329234086,0.966007944196463,"2","not_good"
0.765230300124381,0.576765814097598,0.893500532954931,"2","not_okay"
0.436266740209749,0.261191683588549,0.626661318587139,"2","not_terrible"
0.0076982887462003,0.00000382424332201481,0.110610513249412,"2","yes_amazing"
0.957383302762462,0.832093739882112,0.998405904741958,"2","yes_bad"
0.0408331513228798,0.00168181327171624,0.169784121681005,"2","yes_good"
0.286016140587334,0.136435051914304,0.467898193048313,"2","yes_okay"
0.521675300028374,0.331339394673705,0.694032348226756,"2","yes_terrible"
0.787597983096431,0.625162924174219,0.919700593221933,"3","not_amazing"
0.851445207928608,0.66593528399244,0.943144249264151,"3","not_bad"
0.158161591058291,0.0524756680242717,0.328098402824253,"3","not_good"
0.106285416300757,0.0338030832353979,0.282550222007558,"3","not_okay"
0.958838612872459,0.831025175051764,0.997651075711474,"3","not_terrible"
0.0426477065827439,0.00216309656389058,0.172821847721934,"3","yes_amazing"
0.00783886813763617,0.0000104489736258984,0.107018770650029,"3","yes_bad"
0.827853570935152,0.674618211342022,0.950065315002576,"3","yes_good"
0.961876256585952,0.830834497464821,0.997361289337277,"3","yes_okay"
0.0753361588450363,0.0166365779004991,0.22968664043583,"3","yes_terrible"
0.232083362283803,0.109982818597928,0.420775607228279,"4","not_amazing"
0.869359620483064,0.722283176146448,0.967007760656998,"4","not_bad"
0.00734384652067347,0.000000392086803913116,0.108275963691995,"4","not_good"
0.0074013919789884,0.000000834697857499123,0.109793814830482,"4","not_okay"
0.922523274524954,0.773717507021502,0.986298885196447,"4","not_terrible"
0.674977135310645,0.496073195012286,0.839884924935177,"4","yes_amazing"
0.00777218582618425,0.000000900356099009514,0.109483388252556,"4","yes_bad"
0.991351580693132,0.892320765880868,0.999988029943779,"4","yes_good"
0.777618687324038,0.575059224618599,0.891064642928541,"4","yes_okay"
0.00799870877433632,0.000000728294253349304,0.110371220391244,"4","yes_terrible"
0.0419817653536728,0.002931191585958,0.172334597678855,"5","not_amazing"
0.848280760070591,0.66916468157433,0.940351910190657,"5","not_bad"
0.00814172981385567,0.00000150897540152073,0.109214621130377,"5","not_good"
0.119199382086002,0.0317880199290812,0.281872465042397,"5","not_okay"
0.911574708883161,0.773254670668393,0.984532565809786,"5","not_terrible"
0.991881489297476,0.890429691411555,0.999999060062692,"5","yes_amazing"
0.00794220179010783,0.00000490224920213223,0.110666754422709,"5","yes_bad"
0.992961779414274,0.892543950118124,0.999993625562638,"5","yes_good"
0.612193483341766,0.413103321101516,0.770412695594132,"5","yes_okay"
0.0439651004685772,0.00250632571987808,0.170557975769043,"5","yes_terrible"
