"State","Utterance","Goal","MAP"
"amazing","amazing","honest",0.643042145375737
"amazing","amazing","nice",0.642829153382777
"amazing","bad","honest",0.160382125268615
"amazing","bad","nice",0.160424818895906
"amazing","good","honest",0.45272048731473
"amazing","good","nice",0.452966867626062
"amazing","okay","honest",0.166668017021117
"amazing","okay","nice",0.166735900608747
"amazing","terrible","honest",0.159989332867214
"amazing","terrible","nice",0.160022171155978
"bad","amazing","honest",0.159382205784151
"bad","amazing","nice",0.836513194095793
"bad","bad","honest",0.81731914959242
"bad","bad","nice",0.496725466627346
"bad","good","honest",0.163385492600541
"bad","good","nice",0.835306835440455
"bad","okay","honest",0.29584245780676
"bad","okay","nice",0.790691855326888
"bad","terrible","honest",0.17714147351824
"bad","terrible","nice",0.164270544608097
"good","amazing","honest",0.191793581051398
"good","amazing","nice",0.830093719598967
"good","bad","honest",0.162968069504383
"good","bad","nice",0.161858233110274
"good","good","honest",0.780302564404269
"good","good","nice",0.551365465904211
"good","okay","honest",0.338385547208776
"good","okay","nice",0.2577270654707
"good","terrible","honest",0.159302900532843
"good","terrible","nice",0.15972704474122
"okay","amazing","honest",0.162566098438489
"okay","amazing","nice",0.836242637435486
"okay","bad","honest",0.220390929374695
"okay","bad","nice",0.182639932920592
"okay","good","honest",0.219675967015635
"okay","good","nice",0.821938838353937
"okay","okay","honest",0.811295212966031
"okay","okay","nice",0.51941759296327
"okay","terrible","honest",0.161424229821988
"okay","terrible","nice",0.1613624279753
"terrible","amazing","honest",0.159991654765778
"terrible","amazing","nice",0.83345781265253
"terrible","bad","honest",0.442674106686016
"terrible","bad","nice",0.530383165387111
"terrible","good","honest",0.160383555211716
"terrible","good","nice",0.832065167608495
"terrible","okay","honest",0.166658777765558
"terrible","okay","nice",0.823179973887911
"terrible","terrible","honest",0.655828048270914
"terrible","terrible","nice",0.361027800956986
"amazing","amazing","mean",0.357170846617223
"amazing","bad","mean",0.839575181104094
"amazing","good","mean",0.547033132373938
"amazing","okay","mean",0.833264099391253
"amazing","terrible","mean",0.839977828844022
"bad","amazing","mean",0.163486805904207
"bad","bad","mean",0.503274533372654
"bad","good","mean",0.164693164559545
"bad","okay","mean",0.209308144673112
"bad","terrible","mean",0.835729455391903
"good","amazing","mean",0.169906280401033
"good","bad","mean",0.838141766889726
"good","good","mean",0.448634534095789
"good","okay","mean",0.7422729345293
"good","terrible","mean",0.84027295525878
"okay","amazing","mean",0.163757362564514
"okay","bad","mean",0.817360067079408
"okay","good","mean",0.178061161646063
"okay","okay","mean",0.48058240703673
"okay","terrible","mean",0.8386375720247
"terrible","amazing","mean",0.16654218734747
"terrible","bad","mean",0.469616834612889
"terrible","good","mean",0.167934832391505
"terrible","okay","mean",0.176820026112089
"terrible","terrible","mean",0.638972199043014
