"State","Utterance","Goal","MAP","credHigh","credLow"
"1","amazing","honest",0.206442696952981,0.217715810522183,0.174195511378978
"1","amazing","mean",0.200953525160978,0.211854972067169,0.191998381665001
"1","amazing","nice",0.799046474839022,0.808001618334999,0.788145027932831
"1","bad","honest",0.612430830339304,0.624379000102292,0.60214493630081
"1","bad","mean",0.605526703408936,0.613560991611448,0.59674459438339
"1","bad","nice",0.394473296591064,0.40325540561661,0.386439008388552
"1","good","honest",0.240428019579767,0.262580165684259,0.208094710102785
"1","good","mean",0.240539881532153,0.251050179713125,0.232379665196804
"1","good","nice",0.759460118467847,0.767620334803196,0.748949820286875
"1","okay","honest",0.196704388592704,0.26596625629341,0.185667416199067
"1","okay","mean",0.338397378962283,0.358804531159972,0.336029058643218
"1","okay","nice",0.661602621037716,0.663970941356782,0.641195468840028
"1","terrible","honest",0.67463708418764,0.691520805607083,0.663678177839952
"1","terrible","mean",0.639651115010203,0.650714450243358,0.629838288287244
"1","terrible","nice",0.360348884989797,0.370161711712756,0.349285549756642
"2","amazing","honest",0.144389972826893,0.224616017983303,0.137137011543639
"2","amazing","mean",0.208851933918297,0.220165145099835,0.19598144441387
"2","amazing","nice",0.791148066081703,0.80401855558613,0.779834854900165
"2","bad","honest",0.68798941507314,0.710827742913241,0.674153103275139
"2","bad","mean",0.627432924813836,0.656321120208862,0.61812789916005
"2","bad","nice",0.372567075186164,0.38187210083995,0.343678879791138
"2","good","honest",0.242227895750886,0.270346896383185,0.195531309173195
"2","good","mean",0.246258553172207,0.258667013661134,0.239355372722868
"2","good","nice",0.753741446827793,0.760644627277132,0.741332986338866
"2","okay","honest",0.539267336264033,0.560704337779402,0.494756197874438
"2","okay","mean",0.269218439497148,0.323089284387178,0.258983798006868
"2","okay","nice",0.730781560502852,0.741016201993132,0.676910715612822
"2","terrible","honest",0.523324987059192,0.540144982455437,0.504151725308411
"2","terrible","mean",0.693291367564827,0.717183696852755,0.684415077252836
"2","terrible","nice",0.306708632435173,0.315584922747164,0.282816303147245
"3","amazing","honest",0.284103880379848,0.299071548974274,0.194460592528265
"3","amazing","mean",0.237702025057863,0.25051960638712,0.219126209765421
"3","amazing","nice",0.762297974942137,0.780873790234579,0.74948039361288
"3","bad","honest",0.260833332930507,0.290881820593103,0.248527632189879
"3","bad","mean",0.767409256347686,0.776327653750941,0.758045533826212
"3","bad","nice",0.232590743652314,0.241954466173789,0.223672346249059
"3","good","honest",0.532583929660244,0.577674410673911,0.525383112831554
"3","good","mean",0.313594367233141,0.324220805100557,0.288425047929181
"3","good","nice",0.68640563276686,0.711574952070819,0.675779194899443
"3","okay","honest",0.754003634851198,0.780393831978704,0.737044056444936
"3","okay","mean",0.450704354085105,0.49152559818958,0.448906910492978
"3","okay","nice",0.549295645914896,0.551093089507022,0.50847440181042
"3","terrible","honest",0.383776011920691,0.396947979329869,0.272139028481038
"3","terrible","mean",0.797173457982611,0.802185926768361,0.781657758640413
"3","terrible","nice",0.202826542017389,0.218342241359587,0.197814073231639
"4","amazing","honest",0.529975896600608,0.603886829143469,0.523951280390532
"4","amazing","mean",0.278679459995526,0.297889842189449,0.270036808535293
"4","amazing","nice",0.721320540004474,0.729963191464707,0.702110157810551
"4","bad","honest",0.268165582484397,0.295724785134319,0.241417155482878
"4","bad","mean",0.787868219558338,0.792128238293879,0.768662184255485
"4","bad","nice",0.212131780441662,0.231337815744515,0.207871761706121
"4","good","honest",0.645338933404504,0.655194509123723,0.605004766235918
"4","good","mean",0.383858244550888,0.391053536603626,0.367286577963749
"4","good","nice",0.616141755449112,0.632713422036251,0.608946463396374
"4","okay","honest",0.621273815292715,0.626306095160002,0.49038660382263
"4","okay","mean",0.529547990670245,0.530632668546595,0.515348248952483
"4","okay","nice",0.470452009329755,0.484651751047517,0.469367331453405
"4","terrible","honest",0.202501399948841,0.316798959435438,0.189945180645039
"4","terrible","mean",0.799115564542049,0.807236211944479,0.788974756973353
"4","terrible","nice",0.200884435457951,0.211025243026647,0.192763788055521
"5","amazing","honest",0.676261433473037,0.685625224630726,0.655143056664413
"5","amazing","mean",0.331374785301066,0.345911682131781,0.319854505901752
"5","amazing","nice",0.668625214698934,0.680145494098248,0.654088317868219
"5","bad","honest",0.18919802059453,0.210882289432696,0.174000397819564
"5","bad","mean",0.784097100658952,0.79475162618013,0.77568321028718
"5","bad","nice",0.215902899341048,0.22431678971282,0.20524837381987
"5","good","honest",0.591441871578132,0.60787323412865,0.584766164576073
"5","good","mean",0.421550973079473,0.433712510726436,0.415776320918694
"5","good","nice",0.578449026920527,0.584223679081305,0.566287489273564
"5","okay","honest",0.465404630005938,0.515782844910227,0.460398473477458
"5","okay","mean",0.529187243596193,0.595167639955455,0.527244394506047
"5","okay","nice",0.470812756403807,0.472755605493953,0.404832360044545
"5","terrible","honest",0.154743840452114,0.21256044959981,0.143576534798227
"5","terrible","mean",0.802224551718081,0.808889252579842,0.79007079644059
"5","terrible","nice",0.197775448281919,0.20992920355941,0.191110747420158
