"Utterance","Goal","MAP","credHigh","credLow"
"amazing","honest",81.3398847053969,84.6723613046756,77.9083285190909
"amazing","mean",70.6419854451642,73.6121630499984,68.3074636314069
"amazing","nice",68.1533099416298,70.5737620689233,66.3644303115825
"bad","honest",41.7429697052891,44.5431574808336,38.7196888615336
"bad","mean",49.5891215900167,51.4290123142761,45.3895281229469
"bad","nice",37.42050525914,39.5798588447199,35.6917280528062
"good","honest",71.6487318360447,73.8203169645797,68.6624741902766
"good","mean",65.7743301768694,68.472192092909,64.0151842170594
"good","nice",63.3428702318045,64.6690633409425,60.8036786394357
"okay","honest",63.0431999490246,63.8170145598508,62.3487652208654
"okay","mean",62.3723699613489,63.4476975570155,60.8953822719094
"okay","nice",58.4918734613098,59.4716036219912,58.3107910885279
"terrible","honest",41.2432053057975,44.7666333027604,36.6840356500971
"terrible","mean",49.1041740891708,52.3855816538637,45.5949405048755
"terrible","nice",34.744085818903,37.3541536632761,32.1827045633799
